	gene	rho
6973	rplX	0.27880244755244754
7014	mraY	0.2806381118881119
6935	murAA	0.2840698308783415
7228	dnaA	0.2909090909090909
6904	dfrA	0.2947478894467715
6868	dxs	0.29624125874125873
6981	tagO	0.30113636363636365
7047	gpsA	0.3066870629370629
7238	accB	0.30743006993006994
6969	pheS	0.3177884615384615
7072	rplJ	0.32320804195804204
7091	dapH	0.3240821678321678
6903	gyrA	0.3241695804195804
6983	rplNA	0.32473776223776224
6987	rpsJ	0.3250874125874126
6944	nusA	0.3266608391608392
7109	ribC	0.3412587412587412
7006	engA	0.3431818181818182
7060	dapB	0.3499562937062937
7056	mreD	0.3520979020979021
7005	tagH	0.3564248251748252
6835	fbaA	0.35716783216783216
6834	yumC	0.3575611888111888
7116	rpmC	0.3579108391608392
7274	rpsO	0.36110139860139856
7196	murAA	0.3626351170166532
7084	murAA	0.3646185284843777
7270	murAA	0.3649671280756747
7149	dapG	0.36538461538461536
7209	adk	0.3675699300699301
7219	ylqG	0.3781268675830274
7168	glmS	0.38151223776223775
6848	parE	0.3863199300699301
7053	eno	0.3892045454545454
7202	ftsL	0.3897727272727273
7141	rpsNA	0.3918269230769231
7225	divIC	0.393006993006993
7067	murD	0.3938374125874126
7184	patA	0.394798951048951
7113	fabZ	0.39549825174825176
7016	gcp	0.3982754204729787
7192	ftsW	0.4010989010989011
7163	gcaD	0.4025786713286713
6963	rodA	0.4033653846153846
6971	dapH	0.4039772727272727
7142	tagD	0.4052010489510489
6962	rpsQ	0.40743006993007
7041	dnaA	0.408041958041958
6829	ysxB	0.41027097902097903
6910	murB	0.4132867132867133
6920	engA	0.4180944055944056
7259	rpmA	0.4186800990352599
7267	murAA	0.4189334886774483
6880	rpsC	0.4190996503496504
7075	lysS	0.42062937062937067
7088	parC	0.4213286713286713
7258	rpsS	0.4248688811188811
7063	tagG	0.42521853146853145
6872	dnaG	0.426048951048951
7139	rpoA	0.42888986013986014
7001	accC	0.4313374125874126
6940	ftsE	0.4395104895104895
7279	rpmC	0.4401223776223777
6916	murAA	0.44524304881318943
7050	yneF	0.4480332167832167
7135	panD	0.4489073426573426
6899	dfrA	0.4496927075149853
7122	walR	0.4506993006993007
7038	accC	0.4581293706293706
7166	fabG	0.4583916083916084
7272	ftsZ	0.4587849650349651
7191	murAA	0.4589595642967442
6836	ydiO	0.4609265734265735
6989	tkt	0.4648164335664336
7246	dapG	0.4653846153846154
7155	infA	0.4696678321678322
7278	dnaI	0.4704108391608391
6927	ftsZ	0.4751012145748988
7208	plsX	0.4760489510489511
7017	rpoC	0.4770979020979021
6999	pgsA	0.4773601398601399
6863	panD	0.4898601398601399
7239	murAA	0.4912507975255901
6918	tagG	0.4916958041958042
6876	rpsI	0.4934877622377623
6913	murF	0.4942307692307693
7111	rplV	0.49628496503496505
6867	dxr	0.4963723776223776
7048	fabG	0.4984265734265734
7276	leuS	0.5027534965034964
7221	nrdE	0.5071678321678321
7089	tyrS	0.5079108391608391
7234	obg	0.5087509604712712
7079	gcaD	0.5105769230769229
6997	rplV	0.516826923076923
7032	serS	0.5211101398601399
7250	pgk	0.5213675213675213
6893	spsF	0.523076923076923
6878	secA	0.5291083916083916
7092	accA	0.5295017482517482
7051	rpsK	0.5302447552447552
7083	rplQ	0.5324300699300699
6991	trxA	0.532967032967033
7085	yhdK	0.532991452991453
7157	murAA	0.5353398614848308
7223	cysS	0.5363636363636364
7114	gatC	0.5427010489510489
7230	rplT	0.5427447552447553
7105	mreB	0.544798951048951
7277	murAA	0.5454474002977429
7229	pgm	0.5471153846153846
7175	ydiB	0.5531905594405594
7249	rbgA	0.5555944055944055
7045	ymdA	0.5585247161273799
7066	gatB	0.5587412587412588
7049	yqhY	0.5614073426573426
6861	divIC	0.5673076923076923
6897	rpsO	0.5680506993006993
6828	nrdI	0.5701486013986014
7064	ywlF	0.5707167832167832
6856	scpA	0.5707604895104895
7189	alaS	0.570979020979021
7177	mreC	0.5726835664335664
7106	dfrA	0.5745734971843879
7153	fabD	0.5751311188811189
7077	proS	0.5753059440559439
7220	rpsG	0.5765734265734266
7027	glyS	0.5766171328671329
7117	gmk	0.5826048951048951
7107	ssbA	0.5842220279720279
6955	murAA	0.5853856325187013
7020	asd	0.5885489510489511
6985	rpsD	0.5887237762237763
7240	murAA	0.5907912378521827
7146	dnaX	0.5909090909090909
6888	dfrA	0.5940595190495231
7044	tagA	0.5949300699300699
6901	dfrA	0.5950539543399261
6843	secE	0.5975087412587413
7103	tmk	0.5975961538461538
6965	iscS	0.6004048582995952
