gene_name	locus_tag
accA	BSU29200
qoxD	BSU38140
groEL	BSU06030
dacF	BSU23480
clpP	BSU34540
ffh	BSU15980
hemA	BSU28170
ydzL	BSU04839
ripX	BSU23510
yqzD	BSU24930
yvmB	BSU35080
rplE	BSU01280
gapB	BSU29020
dppA	BSU12920
folC	BSU28080
ispD	BSU00900
pbpB	BSU15160
ftsW	BSU14850
acpS	BSU04620
yxaD	BSU40010
pgm	BSU33910
ligA	BSU06620
ywlC	BSU36950
atpF	BSU36850
tsf	BSU16500
sufD	BSU32700
yvzI	BSU35698
rsbRA	BSU04670
degR	BSU21940
qoxA	BSU38170
ftsL	BSU15150
atpE	BSU36860
ftsA	BSU15280
purB	BSU06440
aroD	BSU25660
ispH	BSU25160
pta	BSU37660
rplO	BSU01350
atpB	BSU36870
aroF	BSU22710
rplNA	BSU01260
dnaC	BSU40440
glpD	BSU09300
atpC	BSU36800
folD	BSU24310
ggaB	BSU35680
secG	BSU33630
scpB	BSU23210
ylqG	BSU16070
mnaA	BSU35660
pgk	BSU33930
yjdB	BSU11990
dapF	BSU32170
tilS	BSU00670
aroB	BSU22700
folK	BSU00790
secA	BSU35300
dnaD	BSU22350
hemC	BSU28150
ugtP	BSU21920
guaA	BSU06360
ywfL	BSU37640
panD	BSU22410
acpA	BSU15920
ileS	BSU15430
dnaN	BSU00020
rsiV	BSU27130
pyk	BSU29180
ydiP	BSU06070
rex	BSU12280
accC	BSU24340
ctaA	BSU14870
cshB	BSU25140
aroA	BSU29750
yfhI	BSU08540
sunI	BSU21490
murB	BSU15230
rplP	BSU01230
walK	BSU40400
metK	BSU30550
hemL	BSU28120
sufB	BSU32670
pfkA	BSU29190
fumC	BSU33040
rpoB	BSU01070
sdhC	BSU28450
lysS	BSU00820
sdhB	BSU28430
citB	BSU18000
plsC	BSU09540
cca	BSU22450
hepT	BSU22740
pcrA	BSU06610
menA	BSU38490
ftsX	BSU35250
nrdI	BSU17370
yfhS	BSU08640
rpsF	BSU40910
hbs	BSU22790
ispG	BSU25070
rpmEA	BSU37070
trxA	BSU28500
engA	BSU22840
pyrG	BSU37150
gapA	BSU33940
cysK	BSU00730
recF	BSU00040
era	BSU25290
uppS	BSU16530
hprK	BSU35000
atpH	BSU36840
rimM	BSU16020
obg	BSU27920
dnaX	BSU00190
accB	BSU24350
nrdF	BSU17390
rpsI	BSU01500
coaD	BSU15020
infA	BSU01390
hprT	BSU00680
yumC	BSU32110
hepS	BSU22760
aspS	BSU27550
relA	BSU27600
yhdK	BSU09500
menD	BSU30820
ysxB	BSU27950
dapB	BSU22490
gatA	BSU06680
cpgA	BSU15780
rplW	BSU01180
tmk	BSU00280
asd	BSU16750
dnaE	BSU29230
patA	BSU14000
folEA	BSU22780
hemE	BSU10120
plsY	BSU18070
tpiA	BSU33920
rplJ	BSU01040
trmD	BSU16030
dagK	BSU06720
ysxC	BSU28190
glyQ	BSU25270
rplQ	BSU01440
ndh	BSU12290
rpsO	BSU16680
nrdE	BSU17380
secY	BSU01360
tyrS	BSU29670
fabF	BSU11340
murG	BSU15220
rnjA	BSU14530
mgtE	BSU13300
trxB	BSU34790
pth	BSU00530
glyS	BSU25260
parC	BSU18100
trpS	BSU11420
birA	BSU22440
odhA	BSU19370
fabG	BSU15910
panC	BSU22420
mreB	BSU28030
rpmD	BSU01340
yaaK	BSU00200
tagF	BSU35720
ppaC	BSU40550
sigA	BSU25200
serS	BSU00130
rplT	BSU28850
gyrB	BSU00060
ppnKA	BSU11610
alaS	BSU27410
tagD	BSU35740
rpsS	BSU01200
eno	BSU33900
pheS	BSU28640
dnaA	BSU00010
fabD	BSU15900
ymdA	BSU16960
secE	BSU01000
iscS	BSU27510
rpe	BSU15790
tuaB	BSU35600
sdhA	BSU28440
ponA	BSU22320
menC	BSU30780
rpsJ	BSU01150
rpsP	BSU15990
hemH	BSU10130
ywlF	BSU36920
prfA	BSU37010
fusA	BSU01120
ackA	BSU29470
qoxC	BSU38150
ydiB	BSU05910
folB	BSU00780
rpsG	BSU01110
rplM	BSU01490
proS	BSU16570
gyrA	BSU00070
rpmA	BSU27940
fabZ	BSU36370
yxxG	BSU39220
priA	BSU15710
rodA	BSU38120
frr	BSU16520
gcaD	BSU00500
ydiC	BSU05920
menB	BSU30800
rpsE	BSU01330
glnA	BSU17460
efp	BSU24450
dapH	BSU14180
ftsZ	BSU15290
rpsC	BSU01220
dxs	BSU24270
mrpC	BSU31620
holA	BSU25560
trmU	BSU27500
rpsM	BSU01410
rpoA	BSU01430
mrpB	BSU31610
rpsL	BSU01100
rpsQ	BSU01250
rplC	BSU01160
argS	BSU37330
nusA	BSU16600
murD	BSU15200
rpmC	BSU01240
accD	BSU29210
gmk	BSU15680
infC	BSU28870
cysS	BSU00940
alrA	BSU04640
ywfI	BSU37670
rpsK	BSU01420
cdsA	BSU16540
panB	BSU22430
glmS	BSU01780
fmt	BSU15730
rnc	BSU15930
atpG	BSU36820
racE	BSU28390
pgsA	BSU16920
dapG	BSU16760
gatC	BSU06670
rplB	BSU01190
hemD	BSU28140
rpsB	BSU16490
atpA	BSU36830
rnpA	BSU41050
murF	BSU04570
rplS	BSU16040
pdhC	BSU14600
rplL	BSU01050
aroE	BSU22600
ftsY	BSU15950
hisS	BSU27560
rbgA	BSU16050
smpB	BSU33600
yqaE	BSU26350
ssbA	BSU40900
ahrC	BSU24250
pheT	BSU28630
valS	BSU28090
polC	BSU16580
atpD	BSU36810
rplV	BSU01210
dxr	BSU16550
pyrH	BSU16510
rpsNA	BSU01290
tagG	BSU35710
pdhA	BSU14580
rplF	BSU01310
gltX	BSU00920
sacV	BSU04830
parE	BSU18090
walR	BSU40410
ylaN	BSU14840
rpsR	BSU40890
tagH	BSU35700
pncB	BSU31750
tufA	BSU01130
gatB	BSU06690
perR	BSU08730
gcp	BSU05940
smc	BSU15940
ctaB	BSU14880
metS	BSU00380
ddl	BSU04560
infB	BSU16630
murC	BSU29790
tagA	BSU35750
dnaG	BSU25210
rplX	BSU01270
yqeG	BSU25680
rplD	BSU01170
fbaA	BSU37120
flgM	BSU35430
prs	BSU00510
gpsA	BSU22830
murE	BSU15180
leuS	BSU30320
ispA	BSU24280
dapA	BSU16770
mraY	BSU15190
adk	BSU01370
rpoC	BSU01080
ynzI	BSU17559
