well	t0_t1	t0_t2	t0_t3	t1_t2	t1_t3	t2_t3	row	col	dose	strain
F1	0.011677030629276615	-0.08115860915624144	-0.25154229729592326	-0.21522436702935951	-0.41227593394440515	-0.5566458514552122	F	1	0.0	18
F2	0.009087765441455637	-0.065837756973947	-0.22486824692575458	-0.17403916507397732	-0.3677323784466935	-0.5096417967517912	F	2	0.0	18
F3	0.008011913258776922	-0.07290109145679986	-0.25116009024294755	-0.18974913951298575	-0.4094222473902498	-0.5703658468758407	F	3	0.0	18
F4	-0.08561509983824016	-0.30871065656037233	-0.5647362258146683	-0.6308873007799729	-0.8573092734716824	-1.0231974317436194	F	4	7.5	18
F5	-0.09096502975491046	-0.30907064103754234	-0.553402591863632	-0.6240412077352162	-0.835787900216503	-0.9909242079622267	F	5	7.5	18
F6	-0.08721784770282735	-0.315979877406524	-0.5821244034689833	-0.6463395857650275	-0.8843367491067416	-1.05870547591957	F	6	7.5	18
F7	-0.18559154306892403	-0.428902122962549	-0.6379837731183529	-0.7802716763727381	-0.9142349469988095	-1.0123831963761005	F	7	15.0	18
F8	-0.19525807851354207	-0.4364313525311112	-0.6708003734036819	-0.7847143808444508	-0.9611880247982559	-1.0904815179650797	F	8	15.0	18
F9	-0.21453034739071195	-0.44712141677393236	-0.689117710262384	-0.783010716006669	-0.9789222369400524	-1.1224568992589936	F	9	15.0	18
F10	-0.2677305653851607	-0.5036330224505733	-0.6497330113989317	-0.8443043612130687	-0.883000996848151	-0.9113521040331607	F	10	30.0	18
F11	-0.27972165595856546	-0.5028028884082679	-0.63254104573602	-0.824958846666704	-0.8479885360325683	-0.8648612481155061	F	11	30.0	18
F12	-0.2799345527553162	-0.5395384793108957	-0.6102157303278254	-0.9144375723846349	-0.8119003680260815	-0.7367764399762466	F	12	30.0	18
G1	0.01564952845418395	0.010220355700909537	0.011430031600328782	0.002379981449453569	0.008853415819516134	0.013596180369165586	G	1	0.0	19
G2	0.019700959565636805	0.015600471129394626	0.013362692998108815	0.009678875811854514	0.009492260520841138	0.009355536745477953	G	2	0.0	19
G3	0.010423747364451265	0.012747473335950535	0.012142884838395986	0.016103211328150967	0.013192667999320793	0.011060257144267813	G	3	0.0	19
G4	0.01316311446780019	0.013332692129827881	0.011715804865641893	0.013577582538625824	0.01083201210792587	0.008820468719533773	G	4	7.5	19
G5	0.018917446008441266	0.013329562616902107	0.01119166649366154	0.005259991237590413	0.006473955802948984	0.007363367477799655	G	5	7.5	19
G6	0.012124847270348517	0.008502991550367277	0.008627461575853201	0.003272599072562447	0.006491799556389509	0.00885034821234225	G	6	7.5	19
G7	0.012493245396181508	0.01071256662043869	0.014743376403991697	0.008141053674009063	0.016117408252912847	0.021961287957202386	G	7	15.0	19
G8	0.01654108102183874	0.010850203213254136	0.01044684678836986	0.0026318955877141716	0.006725431500767998	0.009724562395017096	G	8	15.0	19
G9	0.010032306391248443	0.009870127588609216	0.008497029124819672	0.009635922016944975	0.0075595193293119395	0.006038241983356916	G	9	15.0	19
G10	0.005158482508820263	0.0031523620755794807	-0.003338269275584812	0.00025528443504676965	-0.008526770533345815	-0.01496094698376106	G	10	30.0	19
G11	0.0030698073459474733	-0.001504970574020972	-0.007080916143993003	-0.008111496584492346	-0.013279407394661914	-0.01706567953168607	G	11	30.0	19
G12	0.0037933894447541396	-0.002085427737672232	-0.006011237382541705	-0.010575142278126635	-0.01199838634441569	-0.013041126738032968	G	12	30.0	19
H1	0.025970555701698317	0.0212140825179741	0.017974486339313627	0.014345166833734638	0.013091724432578453	0.012173389303898746	H	1	0.0	WT
H2	0.029284813109510838	0.022410863902827323	0.01745313279517307	0.012484059799312074	0.01022817321649733	0.00857539691548415	H	2	0.0	WT
H3	0.022692471457574838	0.022575847465544762	0.018341150544958176	0.022407428484280414	0.015684037026652182	0.010758141306426173	H	3	0.0	WT
H4	0.02631121317041464	0.019989730280692813	0.01914743437713713	0.010860753559570342	0.014772906766778731	0.017639147541498444	H	4	7.5	WT
H5	0.02065383287307158	0.019366728448474438	0.016587238105805112	0.0175079958481054	0.014103991260405622	0.011610045796148051	H	5	7.5	WT
H6	0.026399872517884837	0.020876560592213777	0.020354695442690623	0.012900238126019769	0.01666323667657706	0.019420199226240307	H	6	7.5	WT
H7	0.02411840426151683	0.022052017030706948	0.01830613971426062	0.019067906932495767	0.014756907880840638	0.01159845252207182	H	7	15.0	WT
H8	0.02404357913235052	0.018906789165559622	0.017771304499046237	0.011488650598044953	0.013941169684039358	0.015738008875332575	H	8	15.0	WT
H9	0.01815443813240318	0.01655959068233235	0.014338691979673959	0.01425644037734453	0.012008624653349386	0.010361761470614168	H	9	15.0	WT
H10	0.01783359062972522	0.01601571206845079	0.017329413443927074	0.013390478186273485	0.01702154003194282	0.019681839096511666	H	10	30.0	WT
H11	0.020722864999870524	0.016671431598682965	0.01575808627552198	0.010820677613925	0.012726367648285289	0.0141225722934398	H	11	30.0	WT
H12	0.015577891945857547	0.013416256912208142	0.011861281086149986	0.01029459760441611	0.009591750257252047	0.009076808838001564	H	12	30.0	WT
